Year,Date,City,Nonfatal_Fatal,Age,Age_Category,Sex,Water_Body,County,Timecat,Time,Victim_Activity,Gator_Fed,Dog_Present,Body_Part_Bitten,Injury_Severity_LowMedHigh,GatorLength_MeasuredOrEst,Length_Feet,Length_Inches,Weight_Lbs,Gator_Sex,GatorObserved_PriorToBite,GatorObserved_DuringBite,VictimStateResidence,AlcoholOrDrugs
2001,31-May-01,Winter Haven,N,61,A,M,Lake Rochelle,Polk,Aft,1600,Wading,N,N,Arm,L,E,9,,,,N,Y,Florida,
2001,20-Jun-01,Marianna,N,28,A,M,Unnamed marsh,Jackson,,,Walking,N,N,Foot then hand,L,E,4,,,,,Y,Tennessee,
2001,23-Jun-01,Winter Haven,F,2,C,F,Lake Cannon,Polk,Aft,1600,,,N,"Arms, leg, face and torso",H,M,6,6,,M,,,Florida,N
2001,27-Jun-01,Lutz,N,43,A,F,Big Moss Lake,Pasco,Aft,1440,Swimming,N,N,Foot then arm,H,M,9,8,227,M,N,Y,Florida,
2001,30-Jun-01,Ft. Pierce,N,11,C,F,Unnamed culvert,St. Lucie,Mor,1015,Wading,N,N,Index finger of right hand,L,M,4,5,15,F,N,Y,Florida,N
2001,08-Jul-01,Jacksonville,N,22,A,F,Big Talbot Island,Duval,Eve,1930,Walking,,Y,Left thigh,M,M,10,0,,M,N,Y,Florida,N
2001,29-Jul-01,Haines City,N,43,A,M,Lake Kissimmee,Osceola,Mor,1045,Boating,N,Y,Hand,M,E,3,6,,,N,Y,Florida,
2001,15-Aug-01,Venice,N,77,A,M,Myakka River,Sarasota,Eve,1830,Fishing,Y,N,Heel of foot,L,M,6,2,,,Y,Y,Florida,
2001,18-Aug-01,Orlando,N,14,T,F,Little Lake Conway,Orange,Nit,2220,Swimming,N,N,Arm,M,M,11,2,,M,Y,Y,Florida,N
2001,11-Sep-01,Sanibel,F,81,A,M,Sanibel River - adjacent wetland,Lee,Aft,1545,Walking,N,Y,Lower right leg,H,M,10,8,,M,,,Florida,N
2001,10-Dec-01,Eagle Lake,N,41,A,M,"Lake McLeod, SW",Polk,Mor,530,Fishing,N,N,Head,M,E,8,,,,,N,Florida,
2002,24-Jan-02,North Port,N,40,A,M,Unnamed pond,Sarasota,Aft,1530,Diving,N,N,Hand,L,M,7,,,,Y,Y,Florida,
2002,03-Feb-02,Lakeland,N,39,A,M,Unnamed pond,Polk,Aft,1330,Boating,N,N,Thigh and arm,L,E,8,,,,Y,Y,Florida,
2002,24-Apr-02,Cape Coral,N,64,A,M,Unnamed pond,Lee,Aft,1500,Diving,N,N,Fingers,L,M,6,6,75,M,N,Y,Florida,
2002,03-May-02,Venice,N,64,A,M,Unnamed pond,Lee,Eve,1830,Diving,N,N,Fingers,M,M,6,7,35,F,N,N,Florida,
2002,25-May-02,Punta Gorda,N,38,A,M,Unnamed canal,Charlotte,Nit,30,Walking,Y,N,Lower leg,M,E,5,6,,,N,Y,Florida,
2002,01-Jun-02,Belle Glade,N,32,A,M,,Palm Beach,Eve,2030,Walking,,N,Left wrist,L,E,3,,,,N,Y,Florida,
2002,17-Jun-02,Nobleton,N,10,C,F,Withlacoochee River - Nobleton,Sumter,Aft,1330,Swimming,N,N,Right thigh,M,M,10,11,,M,N,Y,Florida,
2002,23-Jun-02,Tampa,N,41,A,M,Unnamed pond,Hillsborough,Aft,1400,Swimming,N,N,Foot,M,M,8,5,160,M,Y,Y,Florida,
2002,15-Jul-02,Punta Gorda,N,53,A,M,Unnamed canal,Charlotte,Aft,1500,Landscaping,N,N,Forearm,L,M,6,3,85,F,N,Y,Florida,
2002,25-Aug-02,Andytown,N,42,A,M,Water Conservation Area 2A,Broward,Nit,2130,Swimming,,N,Right shoulder and chest,M,E,11,0,,,Y,Y,Florida,N
2002,26-Aug-02,Dunnellon,N,69,A,M,Withlacoochee River - Dunnellon,Sumter,Aft,1730,Swimming,N,Y,Neck and head,M,M,10,1,400,M,N,Y,Florida,N
